,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_desc,is_violent_recid,type_of_assessment,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,priors_count.1,start,end,event,two_year_recid,length_of_stay,length_of_stay.1,length_of_stay.2
4985,0,3,0,0,4,1,0,14,16,1,0,1,80,1,0,4,0,0,6,1,14,0,41,1,1,7,5,1
3339,0,3,0,1,7,0,0,9,27,1,1,1,9,1,0,7,1,0,9,2,9,0,6,1,1,7,3,0
5021,0,4,1,0,4,0,0,1,22,1,0,1,73,1,0,4,0,0,2,0,1,7,5,1,1,7,0,0
6563,1,2,0,0,6,0,0,2,22,1,0,1,32,0,0,6,1,0,4,0,2,7,42,1,1,7,7,1
5798,0,3,0,0,8,2,3,11,18,1,0,1,9,0,0,8,2,0,7,1,11,0,4,1,1,7,4,0
5436,0,2,0,1,8,0,0,1,22,1,0,1,8,1,0,8,2,0,6,1,1,7,20,1,1,7,0,0
6882,0,5,1,0,2,0,0,12,34,1,0,1,32,0,0,2,0,0,1,0,12,0,14,0,1,7,0,0
7067,0,4,0,0,1,0,0,7,22,1,0,1,272,1,0,1,0,0,1,0,7,7,8,1,1,7,54,0
7092,0,3,0,1,5,0,2,8,22,1,0,1,14,0,0,5,1,0,3,0,8,7,13,1,1,7,0,0
1840,0,2,0,0,4,0,0,0,70,1,1,1,4,1,0,4,0,0,6,1,0,0,58,1,1,7,3,0
1160,1,2,0,1,7,2,2,3,61,1,0,1,2,1,0,7,1,0,8,2,3,0,48,0,0,7,1,0
2122,1,4,0,0,8,0,0,1,26,1,0,1,6,0,0,8,2,0,3,0,1,0,2,1,1,7,3,1
5467,1,4,0,0,6,0,3,18,16,1,0,1,241,0,0,6,1,0,1,0,18,0,5,1,1,7,0,29
4584,0,2,0,0,5,0,0,1,39,1,0,1,118,0,0,5,1,0,6,1,1,0,3,1,1,7,3,0
2135,0,2,0,0,10,1,0,1,22,1,0,1,53,0,0,10,2,0,9,2,1,7,5,1,1,7,4,1
426,0,5,0,0,7,0,0,21,22,1,1,1,9,0,0,7,1,0,4,0,21,7,6,1,1,7,0,0
4218,0,2,0,0,9,0,0,5,22,1,0,1,2,1,0,9,2,0,6,1,5,7,6,1,1,7,2,0
3912,0,5,1,0,4,0,0,9,22,1,0,1,59,0,0,4,0,0,1,0,9,7,15,1,1,7,4,1
7085,0,2,1,0,5,2,1,13,18,1,0,1,171,1,0,5,1,0,5,1,13,0,5,0,1,7,0,0
655,0,3,0,0,10,0,0,23,22,1,0,1,29,0,0,10,2,0,10,2,23,7,6,1,1,7,2,0
599,0,5,0,0,5,0,0,17,17,1,0,1,21,0,0,5,1,0,2,0,17,0,14,1,1,7,1,0
3302,0,2,0,0,10,0,0,3,22,1,0,1,8,0,0,10,2,0,8,2,3,6,12,0,1,7,6,0
2284,1,2,0,1,10,0,0,4,31,1,0,1,10,0,0,10,2,0,9,2,4,0,10,1,1,7,3,0
6461,0,4,1,0,6,0,0,11,13,1,0,1,10,0,0,6,1,0,2,0,11,0,15,1,1,7,4,1
2168,1,2,1,0,8,0,0,4,23,1,1,1,153,0,0,8,2,0,7,1,4,0,0,1,1,7,3,0
4881,1,2,1,0,10,0,0,20,23,1,0,1,32,0,0,10,2,0,3,0,20,0,0,0,1,7,5,0
5830,0,2,0,0,9,0,0,2,22,1,1,1,8,1,0,9,2,0,8,2,2,7,11,0,1,7,0,0
5897,0,3,1,0,9,0,0,9,22,1,0,1,9,0,0,9,2,0,5,1,9,6,9,1,1,6,0,0
3577,0,2,0,1,9,2,0,9,25,1,0,1,3,1,0,9,2,0,9,2,9,0,3,1,1,6,3,0
2137,0,2,0,0,9,0,0,1,22,1,0,1,29,0,0,9,2,0,9,2,1,6,17,1,1,6,0,0
5658,0,2,1,0,8,0,1,11,22,1,0,1,38,0,0,8,2,0,6,1,11,6,4,1,1,6,2,0
5878,0,3,0,0,4,0,0,2,22,1,0,1,65,0,0,4,0,0,1,0,2,6,15,1,1,6,0,0
3559,0,3,0,0,4,0,0,3,22,1,1,1,107,1,0,4,0,0,3,0,3,5,19,1,1,6,17,4
5649,0,2,0,0,9,0,1,6,22,1,0,1,66,0,0,9,2,0,8,2,6,6,16,1,1,6,0,0
2496,0,2,0,0,7,0,0,8,22,1,0,1,62,1,0,7,1,0,8,2,8,6,24,1,1,6,0,0
1150,0,4,1,0,9,0,0,17,34,1,1,1,49,1,0,9,2,0,6,1,17,0,15,0,1,6,13,0
5579,0,2,0,0,7,0,0,0,22,1,0,1,53,1,0,7,1,0,7,1,0,6,27,1,1,6,1,0
6306,0,3,0,0,4,0,0,2,22,1,0,1,85,1,0,4,0,0,3,0,2,6,59,1,1,6,0,0
1205,0,2,0,0,6,0,0,5,22,1,0,1,17,0,0,6,1,0,5,1,5,6,23,0,1,6,0,1
1232,0,2,0,1,9,1,0,8,18,1,0,1,114,1,0,9,2,0,10,2,8,0,17,1,1,6,0,0
6428,0,2,0,1,7,1,0,2,22,1,0,1,5,0,0,7,1,0,6,1,2,6,15,1,1,6,2,0
3213,0,2,0,0,3,0,0,3,40,1,0,1,30,0,0,3,0,0,4,0,3,0,8,1,1,6,3,0
6383,0,2,0,0,9,2,0,2,30,1,1,1,9,1,0,9,2,0,8,2,2,0,9,1,1,6,3,0
1398,0,2,0,1,10,0,1,1,19,1,0,1,9,0,0,10,2,0,9,2,1,0,4,1,1,6,24,5
3060,0,4,1,0,8,0,0,20,22,1,0,1,8,0,0,8,2,0,6,1,20,6,6,1,1,6,5,1
1921,0,3,1,0,4,0,0,2,22,1,0,1,54,0,0,4,0,0,2,0,2,6,7,1,1,6,3,0
1585,0,3,0,0,10,0,0,9,22,1,0,1,10,0,0,10,2,0,7,1,9,68,47,1,1,6,0,0
6103,0,2,1,0,5,0,0,2,35,1,0,1,43,0,0,5,1,0,3,0,2,0,15,1,1,6,3,0
1023,1,2,0,0,7,0,0,5,22,1,1,1,101,0,0,7,1,0,7,1,5,6,7,1,1,6,3,0
6094,0,2,0,0,7,0,0,8,22,1,0,1,27,0,0,7,1,0,7,1,8,6,31,1,1,6,21,5
6571,0,3,0,0,6,1,0,6,24,1,1,1,35,1,0,6,1,0,8,2,6,0,2,1,1,6,3,0
5979,0,2,1,1,9,0,0,9,16,1,0,1,118,0,0,9,2,0,9,2,9,0,13,1,1,6,4,1
6074,0,2,0,0,7,0,0,3,22,1,0,1,2,1,0,7,1,0,9,2,3,6,19,1,1,6,16,3
3623,0,2,1,0,6,0,1,1,22,1,0,1,21,0,0,6,1,0,7,1,1,6,33,1,1,6,13,3
6900,0,2,0,0,10,0,0,15,22,1,0,1,80,0,0,10,2,0,5,1,15,6,4,1,1,6,2,0
234,0,4,1,0,4,0,0,13,22,1,0,1,38,0,0,4,0,0,1,0,13,6,14,1,1,6,15,3
6904,0,3,0,0,9,0,0,2,22,1,1,1,2,1,0,9,2,0,8,2,2,5,9,1,1,6,9,2
4916,1,3,0,0,7,0,0,8,22,1,0,1,56,0,0,7,1,0,5,1,8,5,9,1,1,6,2,0
4101,0,4,0,0,7,0,0,17,22,1,1,1,21,0,0,7,1,0,4,0,17,6,34,1,1,6,0,0
3815,0,2,0,0,9,0,0,11,22,1,0,1,37,0,0,9,2,0,5,1,11,6,19,1,1,6,0,0
405,0,2,0,0,8,0,0,9,22,1,0,1,42,1,0,8,2,0,8,2,9,6,4,0,1,6,4,0
361,0,2,0,0,4,0,1,2,22,1,1,1,11,0,0,4,0,0,3,0,2,6,70,1,0,6,0,0
589,0,2,0,0,8,0,0,4,76,1,0,1,68,0,0,8,2,0,7,1,4,0,66,1,0,6,3,0
3889,0,4,0,0,2,0,0,1,19,1,0,1,149,0,0,2,0,0,1,0,1,0,10,0,1,6,3,0
3803,0,4,0,1,7,0,1,20,22,1,1,1,202,0,0,7,1,0,2,0,20,6,70,1,0,6,2,0
3992,0,2,0,0,5,0,0,4,22,1,0,1,2,1,0,5,1,0,6,1,4,6,21,1,1,6,2,0
394,0,2,0,0,9,0,0,5,22,1,0,1,18,0,0,9,2,0,6,1,5,6,85,1,0,6,1,0
4560,0,2,0,0,5,0,0,5,22,1,0,1,10,0,0,5,1,0,4,0,5,6,21,1,1,6,4,0
4719,0,2,1,0,8,0,0,0,22,1,0,1,12,0,0,8,2,0,5,1,0,6,26,0,1,6,12,0
4187,0,2,0,0,8,0,0,2,22,1,1,1,95,0,0,8,2,0,6,1,2,6,11,0,1,6,2,0
522,0,5,0,0,8,0,0,0,26,1,1,1,64,1,0,8,2,0,4,0,0,0,5,1,1,6,3,0
4171,0,2,0,0,6,0,0,4,22,1,0,1,9,1,0,6,1,0,3,0,4,5,19,1,1,6,1,0
4804,0,4,0,0,5,0,0,19,24,1,0,1,110,0,0,5,1,0,9,2,19,0,2,0,1,6,2,0
6744,0,3,1,0,8,0,0,0,22,1,0,1,2,1,0,8,2,0,3,0,0,4,11,1,1,5,0,0
3072,0,3,0,0,6,0,0,9,19,1,1,1,5,0,0,6,1,0,2,0,9,0,9,0,1,5,2,1
6251,0,2,0,1,3,0,0,1,25,1,0,1,9,1,0,3,0,0,6,1,1,0,3,0,1,5,2,0
6072,0,3,1,0,9,0,0,0,22,1,0,1,9,0,0,9,2,0,3,0,0,4,3,1,1,5,12,2
5322,0,2,1,0,6,0,0,0,22,1,0,1,53,0,0,6,1,0,7,1,0,4,11,0,1,5,1,1
763,0,5,1,0,2,0,0,18,19,1,0,1,82,0,0,2,0,0,1,0,18,0,5,0,1,5,5,0
3417,1,5,1,0,5,0,0,10,22,1,0,1,7,0,0,5,1,0,4,0,10,5,6,1,1,5,0,0
3920,0,2,0,0,10,0,1,1,31,1,0,1,9,0,0,10,2,0,9,2,1,0,10,0,1,5,0,0
1479,0,2,0,0,8,0,1,7,30,1,0,1,129,0,0,8,2,0,7,1,7,0,9,1,1,5,2,0
6267,0,2,1,0,7,0,0,3,22,1,0,1,5,0,0,7,1,0,7,1,3,4,7,1,1,5,2,0
6844,0,3,0,0,6,0,0,17,22,1,0,1,10,0,0,6,1,0,8,2,17,5,24,1,1,5,22,0
1435,0,2,0,1,9,0,0,7,19,1,0,1,12,0,0,9,2,0,5,1,7,0,49,1,1,5,3,0
4860,0,2,0,0,9,0,0,1,22,1,0,1,2,1,0,9,2,0,9,2,1,5,11,0,1,5,2,0
603,0,3,0,0,10,0,0,1,21,1,1,1,10,0,0,10,2,0,9,2,1,4,28,1,1,5,3,0
6865,0,2,0,0,7,0,0,9,22,1,0,1,8,0,0,7,1,0,5,1,9,5,10,1,1,5,2,0
3888,0,3,1,0,8,0,0,4,27,1,0,1,53,0,0,8,2,0,2,0,4,0,6,0,1,5,2,0
1895,1,2,0,0,8,0,0,4,18,1,1,1,3,0,0,8,2,0,7,1,4,0,43,1,1,5,1,0
6837,0,2,1,0,2,0,0,2,22,1,0,1,37,0,0,2,0,0,2,0,2,5,11,1,1,5,3,0
5993,0,2,1,1,7,0,0,1,23,1,0,1,10,0,0,7,1,0,9,2,1,0,1,0,1,5,0,0
5216,0,2,0,0,7,0,0,3,22,1,0,1,12,0,0,7,1,0,5,1,3,5,53,1,1,5,6,1
3273,0,3,0,0,9,0,0,14,22,1,0,1,10,0,0,9,2,0,9,2,14,5,21,1,1,5,1,0
6812,1,4,0,0,2,0,0,3,19,1,0,1,21,0,0,2,0,0,1,0,3,0,53,1,1,5,0,0
5186,0,3,0,0,5,0,0,3,22,1,0,1,32,0,0,5,1,0,2,0,3,4,4,1,1,5,0,0
4123,1,3,1,0,6,0,0,5,22,1,0,1,12,0,0,6,1,0,4,0,5,5,13,1,1,5,2,0
3285,0,2,0,0,4,0,0,6,22,1,0,1,8,0,0,4,0,0,2,0,6,5,11,1,1,5,1,0
2055,0,3,0,0,6,0,0,11,22,1,0,1,6,0,0,6,1,0,2,0,11,5,39,1,1,5,4,0
1179,1,3,1,0,5,0,0,2,22,1,0,1,59,0,0,5,1,0,2,0,2,5,3,1,1,5,1,0
1796,0,2,0,0,6,0,0,4,22,1,0,1,8,0,0,6,1,0,5,1,4,5,12,1,1,5,38,9
7083,0,2,0,0,4,1,0,8,22,1,0,1,9,1,0,4,0,0,6,1,8,5,3,0,1,5,7,2
2476,0,2,1,0,5,0,0,3,22,1,0,1,147,0,0,5,1,0,4,0,3,5,7,1,1,5,2,0
6268,0,3,0,0,4,0,0,3,19,1,1,1,14,0,0,4,0,0,2,0,3,0,68,0,0,5,4,0
6552,0,1,0,3,9,0,0,2,19,1,0,1,146,0,0,9,2,0,9,2,2,0,6,1,1,5,25,28
5641,0,2,1,0,7,0,0,5,19,1,0,1,22,0,0,7,1,0,4,0,5,0,16,0,1,5,6,0
1910,0,3,1,0,9,1,0,11,24,1,0,1,146,0,0,9,2,0,9,2,11,0,2,1,1,5,2,0
2840,0,4,0,0,10,0,0,19,22,1,0,1,140,1,0,10,2,0,9,2,19,5,4,1,1,5,2,0
5761,0,2,1,0,10,0,0,7,22,1,0,1,9,0,0,10,2,0,8,2,7,5,44,1,1,5,4,1
2931,0,6,0,0,8,0,0,19,22,1,0,1,5,0,0,8,2,0,5,1,19,5,43,1,1,5,5,0
922,0,2,0,0,10,0,0,5,19,1,0,1,9,1,0,10,2,0,8,2,5,0,5,1,1,5,2,0
4464,0,2,0,0,9,0,0,3,22,1,0,1,20,1,0,9,2,0,8,2,3,5,9,1,1,5,9,2
2254,0,2,0,0,10,0,0,25,23,1,0,1,42,1,0,10,2,0,9,2,25,0,1,1,1,5,2,0
6170,1,3,0,0,10,0,0,7,22,1,0,1,82,0,0,10,2,0,9,2,7,5,11,0,1,5,0,3
5380,0,2,0,0,9,0,1,2,22,1,0,1,8,0,0,9,2,0,8,2,2,5,9,1,1,5,12,0
2247,0,3,1,0,5,0,0,0,22,1,0,1,9,0,0,5,1,0,1,0,0,5,10,1,1,5,1,0
1681,1,3,1,0,10,0,0,2,22,1,0,1,12,0,0,10,2,0,4,0,2,5,4,1,1,5,9,2
835,0,5,0,1,8,0,0,9,22,1,1,1,87,1,0,8,2,0,2,0,9,5,5,1,1,5,9,2
6158,0,3,0,0,4,0,0,4,22,1,0,1,17,0,0,4,0,0,2,0,4,5,22,1,1,5,1,0
976,0,2,0,0,10,0,0,6,22,1,0,1,5,0,0,10,2,0,9,2,6,5,23,1,1,5,0,0
2863,0,5,0,0,7,0,0,18,22,1,1,1,12,0,0,7,1,0,1,0,18,5,7,1,1,5,12,2
5817,0,3,0,0,6,0,0,5,22,1,0,1,32,0,0,6,1,0,6,1,5,4,4,0,1,5,6,3
2842,0,4,0,0,7,0,0,8,22,1,0,1,64,1,0,7,1,0,4,0,8,5,10,1,1,5,22,5
4532,0,3,1,0,3,0,0,1,22,1,0,1,217,0,0,3,0,0,2,0,1,5,6,1,1,5,3,0
6970,0,2,0,0,10,0,0,5,22,1,1,1,30,0,0,10,2,0,9,2,5,4,31,1,1,5,3,0
3702,0,3,0,0,9,0,0,7,22,1,0,1,68,1,0,9,2,0,9,2,7,4,13,1,1,5,4,1
6564,0,6,0,0,4,0,0,15,19,1,0,1,5,0,0,4,0,0,1,0,15,0,24,1,1,5,1,0
2906,0,2,0,0,2,0,0,1,28,4,1,1,2,1,0,2,0,0,2,0,1,0,7,1,1,5,2,0
5708,0,2,1,0,6,0,0,12,22,1,1,1,27,0,0,6,1,0,4,0,12,5,22,1,1,5,0,0
1731,0,2,0,0,6,1,0,8,22,1,0,1,21,0,0,6,1,0,6,1,8,5,13,0,0,5,0,0
6645,0,2,0,0,7,0,0,6,22,1,1,1,18,0,0,7,1,0,8,2,6,5,27,1,1,5,0,0
3657,0,4,0,0,1,0,0,4,19,1,0,1,101,0,0,1,0,0,1,0,4,0,93,1,0,5,0,0
31,0,3,1,0,9,0,0,9,22,1,0,1,3,0,0,9,2,0,10,2,9,5,14,1,1,5,0,0
2391,0,4,0,0,6,0,0,10,22,1,0,1,17,0,0,6,1,0,3,0,10,5,4,1,1,5,9,2
2917,0,3,0,0,9,1,0,7,22,1,0,1,95,0,0,9,2,0,9,2,7,5,67,1,1,5,2,0
5103,0,4,0,0,6,0,0,12,19,1,0,1,190,0,0,6,1,0,3,0,12,0,5,0,1,5,1,0
7024,0,4,1,0,8,0,0,3,22,1,0,1,59,0,0,8,2,0,1,0,3,4,15,0,1,4,0,0
2760,0,3,0,0,10,0,0,10,22,1,0,1,5,0,0,10,2,0,5,1,10,4,8,0,1,4,6,0
481,0,3,0,0,1,0,0,4,22,1,0,1,60,0,0,1,0,0,1,0,4,4,14,1,1,4,0,0
1908,0,2,1,0,7,0,0,1,22,1,0,1,12,0,0,7,1,0,4,0,1,3,6,1,1,4,1,0
5437,1,2,1,0,6,0,0,2,22,1,0,1,52,0,0,6,1,0,4,0,2,4,11,1,1,4,0,0
2727,0,2,0,4,10,0,0,13,21,1,0,1,9,0,0,10,2,0,9,2,13,3,10,1,1,4,10,2
1636,0,5,1,0,7,0,0,3,22,1,0,1,10,0,0,7,1,0,2,0,3,4,4,1,1,4,9,0
3147,1,3,1,0,7,0,0,8,22,1,0,1,29,0,0,7,1,0,5,1,8,4,6,1,1,4,2,0
6937,0,3,0,0,6,0,0,11,22,1,0,1,68,0,0,6,1,0,4,0,11,4,34,1,1,4,5,1
5287,0,5,0,0,8,0,0,15,22,1,0,1,4,0,0,8,2,0,4,0,15,4,3,1,1,4,1,0
1331,0,3,1,0,7,0,0,0,22,1,0,1,10,0,0,7,1,0,4,0,0,4,24,1,1,4,2,0
4160,1,6,1,0,3,0,0,8,22,1,0,1,53,0,0,3,0,0,1,0,8,4,12,0,1,4,0,0
2723,0,1,0,1,10,0,1,1,19,1,0,1,170,1,0,10,2,0,10,2,1,0,5,0,1,4,2,0
5264,0,2,0,0,8,0,0,2,22,1,1,1,12,0,0,8,2,0,8,2,2,4,5,1,1,4,1,0
4808,0,3,0,0,6,0,0,6,26,1,0,1,9,1,0,6,1,0,4,0,6,0,4,1,1,4,2,0
4047,0,2,1,0,9,0,2,8,22,1,0,1,10,0,0,9,2,0,10,2,8,0,1,1,1,4,2,0
6022,0,5,0,0,9,0,0,2,22,1,0,1,54,0,0,9,2,0,3,0,2,4,7,1,1,4,27,6
5333,0,4,0,0,6,0,0,1,22,1,0,1,29,0,0,6,1,0,5,1,1,4,12,1,1,4,0,0
3006,0,2,0,0,10,0,1,0,22,1,1,1,9,0,0,10,2,0,9,2,0,4,5,1,1,4,1,0
3048,0,3,1,0,2,0,0,2,22,1,1,1,14,1,0,2,0,0,3,0,2,4,6,1,1,4,3,0
1727,0,3,1,0,7,0,0,1,22,1,0,1,21,1,0,7,1,0,2,0,1,4,37,1,1,4,1,0
1467,0,3,0,3,10,0,0,6,22,1,0,1,19,1,0,10,2,0,6,1,6,3,15,1,1,4,34,8
6909,0,3,0,0,4,0,0,3,22,1,0,1,2,1,0,4,0,0,3,0,3,4,43,1,1,4,2,0
1456,0,2,0,0,9,5,0,12,22,1,1,1,32,1,0,9,2,0,9,2,12,0,0,1,1,4,4,0
2833,0,5,0,0,8,0,2,24,22,1,1,1,175,1,0,8,2,0,8,2,24,4,7,0,1,4,4,0
6183,0,2,0,0,3,0,0,2,22,1,0,1,14,0,0,3,0,0,5,1,2,4,57,1,1,4,11,0
3085,0,5,0,0,3,0,0,3,22,1,1,1,9,0,0,3,0,0,1,0,3,3,8,1,1,4,0,0
1773,0,3,0,0,1,0,1,3,22,1,0,1,141,1,0,1,0,0,1,0,3,0,0,1,1,4,0,0
6255,0,2,0,0,8,0,0,2,22,1,0,1,107,0,0,8,2,0,7,1,2,4,21,1,1,4,3,0
6178,0,3,1,0,6,0,0,2,16,1,0,1,34,0,0,6,1,0,3,0,2,0,13,1,1,4,1,0
2844,0,5,1,0,2,0,0,1,22,1,0,1,32,0,0,2,0,0,1,0,1,4,5,1,1,4,1,0
2799,0,2,0,0,4,0,0,0,23,1,0,1,174,1,0,4,0,0,8,2,0,0,1,1,1,4,2,0
5468,1,3,0,0,9,0,0,13,22,1,0,1,21,0,0,9,2,0,3,0,13,4,8,1,1,4,2,0
437,0,1,1,0,10,0,1,1,22,1,0,1,53,0,0,10,2,0,8,2,1,4,9,0,1,4,0,0
393,0,2,0,0,8,0,0,12,22,1,0,1,9,0,0,8,2,0,5,1,12,4,30,1,1,4,3,0
5443,0,2,0,1,10,0,0,12,22,1,0,1,59,0,0,10,2,0,8,2,12,4,11,1,1,4,0,0
6117,0,5,0,0,9,0,0,3,22,1,0,1,68,0,0,9,2,0,4,0,3,4,9,1,1,4,2,0
5306,0,3,1,0,2,0,0,4,22,1,0,1,29,0,0,2,0,0,2,0,4,4,45,1,1,4,2,0
339,0,2,0,0,6,0,0,3,37,2,0,1,18,0,0,6,1,0,4,0,3,0,18,1,1,4,2,0
4108,0,3,1,0,8,0,0,1,22,1,0,1,32,0,0,8,2,0,6,1,1,4,3,1,1,4,0,0
5316,0,2,0,0,8,0,0,4,22,1,0,1,29,0,0,8,2,0,5,1,4,4,7,1,1,4,2,0
3625,1,2,0,0,8,1,0,2,22,1,1,1,8,0,0,8,2,0,8,2,2,4,4,1,1,4,0,0
1923,1,2,0,0,6,0,0,4,14,1,0,1,32,0,0,6,1,0,5,1,4,0,19,1,1,4,6,1
3489,0,4,1,0,6,0,0,7,22,1,0,1,10,0,0,6,1,0,7,1,7,4,30,1,1,4,5,0
3458,0,7,1,0,4,0,0,1,20,1,0,1,43,0,0,4,0,0,1,0,1,0,58,1,1,4,0,0
67,0,2,0,0,6,1,0,6,22,1,0,1,5,0,0,6,1,0,3,0,6,3,17,1,1,4,0,0
2463,0,4,0,2,10,0,0,18,22,1,1,1,12,0,0,10,2,0,8,2,18,4,29,0,1,4,0,0
86,0,2,0,1,9,0,0,2,22,1,0,1,9,0,0,9,2,0,10,2,2,3,15,1,1,4,0,0
6559,0,2,1,0,4,0,0,1,22,1,0,1,53,0,0,4,0,0,3,0,1,3,3,1,1,4,1,0
4565,1,2,0,0,9,0,0,13,22,1,0,1,32,0,0,9,2,0,6,1,13,4,23,1,1,4,0,0
4578,0,6,0,0,2,0,0,20,22,1,1,1,62,0,0,2,0,0,1,0,20,3,5,1,1,4,2,0
4330,0,2,1,0,4,0,0,1,19,1,0,1,80,0,0,4,0,0,6,1,1,0,7,0,1,4,2,0
7103,0,3,0,2,9,3,0,16,24,1,1,1,18,1,0,9,2,0,6,1,16,0,2,1,1,4,2,0
757,1,4,0,0,10,0,0,19,22,1,0,1,5,0,0,10,2,0,2,0,19,3,9,0,1,4,2,2
4238,0,4,1,0,9,0,0,28,22,1,0,1,9,0,0,9,2,0,3,0,28,4,3,1,1,4,0,0
3219,0,5,1,0,1,0,0,0,22,1,0,1,136,1,0,1,0,0,1,0,0,4,5,1,1,4,5,1
3751,0,2,1,0,7,1,0,4,22,1,1,1,20,1,0,7,1,0,6,1,4,4,18,1,1,4,16,3
182,0,3,0,2,8,2,1,22,20,1,0,1,8,0,0,8,2,0,5,1,22,0,21,1,1,4,0,0
3759,1,3,0,0,2,0,0,2,15,1,0,1,8,0,0,2,0,0,1,0,2,0,11,1,1,4,1,0
4919,0,2,0,0,8,0,0,0,22,1,0,1,42,1,0,8,2,0,7,1,0,4,11,0,1,4,0,0
5171,0,3,1,0,2,0,0,17,22,1,0,1,21,0,0,2,0,0,1,0,17,4,4,1,1,4,2,0
5108,1,2,1,0,10,0,0,6,22,1,1,1,9,0,0,10,2,0,9,2,6,3,7,1,1,4,0,0
2209,0,5,0,0,7,0,0,9,22,1,0,1,10,0,0,7,1,0,1,0,9,4,24,1,1,4,18,0
5910,0,2,0,0,8,2,1,2,22,1,0,1,223,0,0,8,2,0,8,2,2,3,11,1,1,4,3,0
38,0,3,0,2,9,1,3,21,22,1,0,1,12,0,0,9,2,0,6,1,21,4,46,1,1,4,11,2
6649,1,3,0,0,3,0,0,1,22,1,0,1,34,0,0,3,0,0,1,0,1,4,7,1,1,4,24,5
4473,0,6,0,0,8,0,0,22,22,1,0,1,9,0,0,8,2,0,2,0,22,4,21,1,1,4,5,1
6643,0,3,1,0,1,0,0,2,22,1,1,1,116,0,0,1,0,0,2,0,2,4,4,1,1,4,1,0
909,0,3,0,0,7,0,1,6,22,1,1,1,5,0,0,7,1,0,4,0,6,4,7,1,1,4,31,7
3580,1,2,0,0,10,0,0,0,22,1,0,1,5,0,0,10,2,0,9,2,0,4,14,0,1,4,0,0
3626,0,2,0,0,8,0,0,6,22,1,0,1,5,0,0,8,2,0,4,0,6,4,3,1,1,4,1,0
6635,0,5,1,0,6,0,0,18,34,2,1,1,10,0,0,6,1,0,3,0,18,0,15,0,1,4,0,0
3574,0,3,0,0,9,0,0,20,22,1,0,1,9,0,0,9,2,0,5,1,20,0,14,1,1,4,3,99
930,0,4,1,0,5,0,0,4,18,1,0,1,95,0,0,5,1,0,6,1,4,0,55,1,1,4,2,0
7190,0,2,0,0,3,0,0,2,22,1,1,1,58,1,0,3,0,0,4,0,2,4,16,0,1,4,8,0
6668,0,3,0,0,8,0,1,8,19,1,1,1,69,1,0,8,2,0,4,0,8,0,6,1,1,4,2,0
3635,0,5,0,0,9,0,0,22,22,1,0,1,5,0,0,9,2,0,2,0,22,4,24,1,1,4,9,2
5825,0,2,0,0,10,0,0,16,22,1,0,1,26,0,0,10,2,0,9,2,16,4,12,1,1,4,0,0
5758,0,4,0,2,6,0,0,23,24,1,1,1,42,1,0,6,1,0,8,2,23,0,2,1,1,4,2,0
3639,0,5,0,0,4,0,0,0,22,1,1,1,9,0,0,4,0,0,1,0,0,3,6,1,1,4,0,0
836,0,2,1,0,4,0,0,5,22,1,0,1,10,1,0,4,0,0,3,0,5,4,10,0,1,4,0,0
6591,0,2,1,0,10,0,0,5,22,1,0,1,53,1,0,10,2,0,5,1,5,4,16,1,1,4,14,0
5634,0,3,1,0,7,1,0,5,33,1,0,1,2,1,0,7,1,0,2,0,5,0,12,1,1,4,2,0
2506,0,2,0,0,10,0,0,5,22,1,1,1,2,1,0,10,2,0,9,2,5,4,30,1,1,4,2,0
2526,0,2,0,0,8,0,0,5,22,1,0,1,17,0,0,8,2,0,9,2,5,4,14,1,1,4,5,0
4648,0,2,0,0,10,0,0,15,22,1,0,1,5,0,0,10,2,0,5,1,15,3,38,1,1,4,0,0
2718,0,2,0,0,5,0,0,1,20,1,0,1,18,0,0,5,1,0,5,1,1,0,19,0,1,4,2,1
613,0,2,0,0,5,0,0,4,22,1,0,1,8,1,0,5,1,0,4,0,4,4,5,1,1,4,6,0
7045,0,2,0,0,6,0,0,11,20,1,0,1,43,0,0,6,1,0,4,0,11,0,20,0,1,4,0,2
4853,0,4,0,0,10,0,0,17,22,1,0,1,17,0,0,10,2,0,9,2,17,4,5,1,1,4,2,0
4666,0,4,1,0,3,0,0,4,22,1,0,1,2,1,0,3,0,0,5,1,4,4,41,1,1,4,0,0
2677,0,2,1,0,5,0,0,0,22,1,0,1,14,1,0,5,1,0,5,1,0,4,7,0,1,4,7,0
5948,0,2,0,0,4,0,0,0,22,1,0,1,32,0,0,4,0,0,5,1,0,4,43,1,1,4,0,0
242,0,3,1,0,8,0,0,0,22,1,0,1,40,0,0,8,2,0,5,1,0,3,35,1,1,4,2,0
1226,0,3,1,0,8,0,0,2,19,1,1,1,9,0,0,8,2,0,2,0,2,0,3,0,1,4,0,0
1213,0,3,0,0,8,0,0,1,22,1,0,1,9,0,0,8,2,0,4,0,1,3,3,1,1,4,4,1
5588,1,4,1,0,1,0,0,1,47,1,1,1,173,1,0,1,0,0,1,0,1,0,30,1,1,4,2,0
2593,0,5,0,0,8,0,0,14,22,1,0,1,164,0,0,8,2,0,4,0,14,4,3,1,1,4,27,6
